tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,genres,runtimeMinutes
1174302,tt21843364,Baanadariyalli,2023-09-15,kn,0.0,5.7,437.0,6714084.0,Preetham Gubbi,"Ganesh, Rukmini Vasanth, Rangayana Raghu, Reeshma Nanaiah","Comedy,Drama,Romance",149
1388350,tt15716552,Tatsama Tadbhava,2023-09-15,kn,6.5,7.4,3846.0,5178449.0,Unknown,"Prajwal Devaraj, Meghana Raj, Aravinnd Iyer, Balaji Manohar","Crime,Thriller",122
1066822,tt28680122,Praavu,2023-09-15,ml,3.0,7.2,335.0,2768314.0,Navaz Ali,"Amith Chakalakkal, Sabumon Abdusamad, Yami Sona, Manoj K U, Aadarsh Raja",Drama,132
991817,tt21109252,Nadhikalil Sundari Yamuna,2023-09-15,ml,3.8,5.2,440.0,2400783.0,Vijesh Panathur,"Dhyan Sreenivasan, Aju Varghese, Pragya Nagra, Sudheesh, Kalabhavan Shajon",Comedy,129
1177080,tt29076707,En 6 Vaathiyaar Kaalpanthatta Kuzhu,2023-09-15,ta,0.0,7.3,126.0,9027316.0,S Hari Uthraa,"S.Sharath Kumar, Ayraa, Ganja Karuppu, Sona Heiden, Gajaraj","Action,Sport",123
922087,tt23052532,Mark Antony,2023-09-15,ta,6.033,6.6,6440.0,9389711.0,Adhik Ravichandran,"Vishal Krishna, S. J. Suryah, Sunil Varma, Selvaraghavan, Ritu Varma","Action,Comedy,Crime",150
950071,tt15748830,Jaane Jaan,2023-09-21,hi,7.144,7.0,16750.0,10933849.0,Sujoy Ghosh,"Kareena Kapoor Khan, Jaideep Ahlawat, Vijay Varma, Naisha Khanna, Saurabh Sachdeva","Crime,Drama,Mystery",139
945337,tt18266472,Sukhee,2023-09-22,hi,5.5,6.0,9379.0,7628265.0,Sonal Joshi,"Shilpa Shetty Kundra, Chaitannya Choudhry, Maahi Jain, Kusha Kapila, Dilnaz Irani","Comedy,Drama",139
1239789,tt29437622,Ulagammai,2023-09-22,ta,0.0,6.0,22.0,8968292.0,Jayaprakash Veerapan,"G. Marimuthu, G. M. Sundar, Gouri G Kishan",Unknown,122
1145622,tt21767274,Are You Ok Baby?,2023-09-22,ta,0.0,6.5,1290.0,9687930.0,Lakshmi Ramakrishnan,"Samuthirakani, Abhirami, Mullai Arasi, Lakshmi Ramakrishnan, Ashok Kumar Balakrishnan","Crime,Drama,Family",113
1303170,tt29280166,Akkuvinte Padachon,2023-09-22,ml,0.0,6.8,63.0,4215654.0,Murukan Melery,"Vinod Kovoor, Shivaji Guruvayoor, Pradeep Balan, Mamukkoya",Family,118
1444135,tt29118055,La - Tomatina,2023-09-22,ml,0.0,5.6,126.0,4251409.0,Unknown,Joy Mathew,Thriller,116
1121284,tt28622030,Demon,2023-09-22,ta,0.0,4.2,176.0,9055693.0,Ramesh Pazhaniivel,"Sachin Mani, Abarnathi, Raveena Daha, Kumki Ashwin, Suruthi Periyasamy",Horror,122
1181896,tt29117891,Oruvattam Koodi,2023-09-22,ml,0.0,3.6,154.0,4267300.0,Sabu James,"Divya Devdas, Amala Rose Dominic, Sibi Thomas, Srikant Murali, Manoj Nandam",Romance,134
1180286,tt28999528,Aima,2023-09-22,ta,0.0,8.1,155.0,9043775.0,Rahul R Krishna,"Yunus Mohammed, Shanmugam Ramasamy, Elvin Juliet, Akhil Prabhakar, Sisira",Unknown,129
984092,tt18561736,The Great Indian Family,2023-09-22,hi,4.556,5.6,7145.0,6864390.0,Vijay Krishna Acharya,"Vicky Kaushal, Manushi Chhillar, Kumud Mishra, Manoj Pahwa, Bhuvan Arora",Family,112
1181985,tt28353490,Yaan Superstar,2023-09-22,te,0.0,9.1,30.0,13911485.0,Santosh Shetty,"Dayanand Shetty, Sal Ballal, Ansha Sayed, Naveen D. Padil, Bhojraj Vamanjoor",Family,134
1036005,tt22797978,Theeppori Benny,2023-09-22,ml,2.0,4.9,428.0,3354999.0,Joji Thomas,"Arjun Ashokan, Femina George, Tony Jose, Jagadish, Aswathy Sreekanth",Comedy,122
923035,tt23183388,Chaaver,2023-09-22,ml,5.0,6.2,2542.0,2953063.0,Tinu Pappachan,"Kunchacko Boban, Antony Varghese, Arjun Ashokan, Manoj K U, Anuroop P","Crime,Thriller",128
1065918,tt25274786,Kannur Squad,2023-09-28,ml,6.6,7.6,12143.0,7547749.0,Roby Varghese Raj,"Mammootty, Rony David Raj, Azees Nedumangad, Shabareesh Varma, Kishore","Action,Crime,Drama",161
1115253,tt27540185,Chithha,2023-09-28,ta,7.606,8.2,9343.0,10197443.0,S. U. Arunkumar,"Siddharth, Sahasra Sree, S. Abiya Tasneem, Nimisha Sajayan, Anjali Aneesh Upasana","Drama,Thriller",140
1183149,tt23846990,Uyir Thamizhukku,2023-09-28,ta,6.5,5.9,116.0,5551269.0,Adam Bhava,"Ameer, Chandini Sreedharan, Anandaraj, Subramaniam Siva, Mahanadhi Shankar",Drama,130
1046620,tt23554840,The Vaccine War,2023-09-28,hi,5.765,7.1,25356.0,16554332.0,Vivek Agnihotri,"Nana Patekar, Pallavi Joshi, Sapthami Gowda, Raima Sen, Girija Oak","Drama,Thriller",161
805785,tt26445483,Fukrey 3,2023-09-28,hi,5.267,5.5,25892.0,16000000.0,Mrighdeep Singh Lamba,"Pulkit Samrat, Varun Sharma, Manjot Singh, Richa Chadha, Pankaj Tripathi","Comedy,Crime,Drama",147
990787,tt26316907,Iraivan,2023-09-28,ta,5.214,4.7,2401.0,7534692.0,I. Mueenuddin Ahmed,"Ravi Mohan, Nayanthara, Rahul Bose, Narain, Ashish Vidhyarthi","Action,Crime,Drama",154
1177634,tt20754156,Tumse Na Ho Payega,2023-09-29,hi,7.944,7.6,2614.0,2484012.0,Abhishek Sinha,"Ishwak Singh, Mahima Makwana, Gaurav Pandey, Amala Akkineni, Gurpreet Saini","Comedy,Drama",132
1189482,tt26750468,Vaazhvu Thodangumidam Neethanae,2023-09-29,ta,0.0,7.7,36.0,8976238.0,Jeyaraj Palani,"Suruthi Periyasamy, Niranjana Neithiar, Arumugavel, Arshath Feras, RJ Pradeep",Romance,129
1186985,tt29267827,Gangster Ganga,2023-10-02,hi,0.0,6.2,39.0,5263930.0,Sahil Rakesh Grover,"Supriya Pathak, Veer Rajwant Singh",Unknown,129
1186128,tt28524022,Rat in the Kitchen,2023-10-02,hi,8.0,6.7,80.0,1015972.0,Arkish Aftab,"Mantra Mugdh, Aishwarya Desai, Diksha Khatri, Amit Jha, Jeet Singh Panwar",Unknown,129
1181386,tt27295900,Margazhi Thingal,2023-10-05,ta,0.0,6.4,73.0,8997236.0,Manoj Bharathiraja,"Shyaam Selvan, Rakshana, Bharathiraja, Suseenthiran, Appukutty",Drama,112
