tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,genres,runtimeMinutes
1440651,,Randaam Yaamam,2025-02-28,ml,1.0,,,,,,,
1440754,tt16141930,Dil Dosti Aur Dogs,2025-02-28,hi,3.75,5.8,272.0,0.0,Viral Shah,"Neena Gupta, Sharad Kelkar, Tridha Choudhury, Kunaal Roy Kapur, Masumeh Makhija",Comedy,101
1066371,tt25505032,Aapp Kaise Ho,2025-02-28,ml,0.0,6.7,741.0,0.0,Vinay Jose,"Dhyan Sreenivasan, Sreenivasan, Aju Varghese, Ramesh Pisharody, Sminu Sijo",Comedy,105
1440111,,1990's,2025-02-28,kn,5.0,,,,,,,
1247544,tt30320975,Prishati,2025-02-28,hi,0.0,,,0.0,Krishan Kant Pandey,"Rajneesh Duggal, Ansha Sayed, Saumil Chawla, Preeti Shukla, Vishaka Gorakh Nath",Drama,
1370264,tt30798612,Crazxy,2025-02-28,hi,5.5,6.6,17985.0,0.0,Girish Kohli,"Sohum Shah, Tinnu Anand, Nimisha Sajayan, Unnati Surana, Shilpa Shukla","Drama,Thriller",93
1103756,tt27217053,Aghathiyaa,2025-02-28,ta,4.0,4.7,1461.0,0.0,Pa. Vijay,"Jiiva, Raashii Khanna, Arjun Sarja, Edward Sonnenblick, Matilda","Action,Adventure,Fantasy",134
1062715,,Sabdham,2025-02-28,ta,5.167,,,,,,,
1491029,,Hitman’s Holiday,2025-03-01,te,0.0,,,0.0,Nithin Kannekanti,"Saketh Reddy, Akshatha, Paromita, Rajesh K, Srujan",,
1627901,,Kalavu,2025-03-01,ml,0.0,,,0.0,Kiran K R,"Pradeep Kumar, Uma K.P, Meghna Sunil, Anandhu Krishna",,
1441271,,Bloody Mosquito,2025-03-02,hi,0.0,,,,,,,
1479297,tt28517075,Champaran Mutton,2025-03-03,hi,0.0,,,0.0,Ranjan Kumar,Chandan Roy,,
1443038,,Parajya,2025-03-04,kn,0.0,,,0.0,Mahadev Hadapad,"Mahadev Hadapad, Prajwal Kollal, Gayathri Heggodu, Veer Badami",,
1436664,tt35229809,Baapu - A Father's Story,2025-03-07,te,6.0,6.0,181.0,0.0,,,Drama,120
1620636,tt35947180,W/O Anirvesh,2025-03-07,te,0.0,7.2,1076.0,0.0,,"Jabardasth Ramprasad, Nazia Khan, Gemini Suresh",Drama,98
942955,,Aalambana,2025-03-07,ta,0.0,,,,,,,
1123042,tt15392926,Address,2025-03-07,ta,0.0,,,0.0,Rajmohan,"Esakki Bharath, Atharvaa Murali, Diya Mayurikha, Thambi Ramaiah, Devadarshini",Action,
1198451,tt29451496,Mithya,2025-03-07,kn,8.5,7.7,212.0,0.0,Sumanth Bhat,"Athish S Shetty, Prakash Thuminad, Roopa Varkady",Drama,98
1433326,,Maqam,2025-03-07,hi,0.0,,,,,,,
1411454,tt35465537,Yamakaathaghi,2025-03-07,ta,6.0,6.7,420.0,0.0,Peppin George Jayaseelan,"Roopa Koduvayur, Narendra Prasath, Geetha Kailasam, Raju Rajappan, Subash Ramasamy","Crime,Horror,Thriller",113
1393676,,Kingston,2025-03-07,ta,5.0,,,,,,,
1434988,tt35410222,Murmur,2025-03-07,ta,4.5,4.0,3743.0,0.0,Hemnath Narayanan,"Richie Kapoor, Devaraj Arumugam, Suganya Shanmugam, Yuvikha Rajendran, Aria Selvaraj","Horror,Thriller",139
1431043,,Gentlewoman,2025-03-07,ta,8.0,,,,,,,
1226851,tt32874323,Ouseppinte Osiyathu,2025-03-07,ml,6.6,6.2,450.0,0.0,Sarath Chandran RJ,"Vijayaraghavan, Dileesh Pothan, Kalabhavan Shajon, Lenaa, Kani Kusruti",Drama,119
1431271,tt32189846,Niram Marum Ulagil,2025-03-07,ta,0.0,4.9,8328.0,0.0,JB Britto,"Bharathiraja, Rio Raj, Sandy, Aegan, Natarajan Subramaniam",Drama,146
1443590,tt29002920,Shivangi,2025-03-07,te,0.0,6.9,1640.0,0.0,Devaraj Bharani Dharan,"Anandhi, Varalaxmi Sarathkumar, John Vijay, Koya Kishore Kumar, Akshara Nunna Sujana","Drama,Thriller",140
1443491,tt33092407,Rakshasa,2025-03-07,kn,0.0,3.1,62.0,0.0,H. Lohith,"Prajwal Devraj, Sonal Monteiro, Shobaraj",Thriller,120
1147546,,The Diplomat,2025-03-07,hi,6.581,,,,,,,
1496241,tt35946578,Jigel,2025-03-07,te,0.0,7.6,609.0,0.0,,"Thrigun, Megha Chowdhury, Avinash Mukku, Raghu Babu, Posani Krishna Murali","Action,Drama,Romance",148
1225475,tt27868101,Vadakkan,2025-03-07,ml,5.5,6.1,6097.0,0.0,Sajeed A. Raman,"Kishore, Shruthy Menon, Merin Philip, Meenakshi Unnikrishnan, Kalesh Ramanand","Fantasy,Horror,Thriller",112
1445070,tt34896026,Legally Veer,2025-03-07,te,1.0,6.2,8636.0,0.0,,"Malikireddy Veer Reddy, Priyanka Rewri","Drama,Thriller",142
